Year,CPUE,CPUE_1,CPUE_2,Juv,Juv_1,Juv_2,Subadult,Subadult_1,Subadult_2,Adult,Adult_1,Adult_2,IF,IF_1,IF_2,MF,MF_1,MF_2,IM,IM_1,IM_2,MM,MM_1,MM_2,Sublegal,Sublegal_1,Sublegal_2,Legal,Legal_1,Legal_2,SumLandings,SumLandingsCPUE
2008,4.104166667,2.301420455,3.090277778,1.260416667,0.438825758,1.195833333,1.708333333,1.084375,1.300757576,1.135416667,0.778219697,0.593686869,1.307291667,0.748863636,1.249242424,0.223958333,0.016666667,0.06780303,1.286458333,0.588257576,0.968686869,1.286458333,0.947632576,0.804545455,2.96875,1.523200758,2.496590909,1.135416667,0.778219697,0.593686869,49331.94795,11.10984511
2009,2.295138889,4.104166667,2.301420455,0.789930556,1.260416667,0.438825758,0.850694444,1.708333333,1.084375,0.654513889,1.135416667,0.778219697,0.678819444,1.307291667,0.748863636,0.046875,0.223958333,0.016666667,0.770833333,1.286458333,0.588257576,0.798611111,1.286458333,0.947632576,1.640625,2.96875,1.523200758,0.654513889,1.135416667,0.778219697,43528.62235,9.136414745
2010,2.875661376,2.295138889,4.104166667,0.994708995,0.789930556,1.260416667,1.423280423,0.850694444,1.708333333,0.457671958,0.654513889,1.135416667,1.08994709,0.678819444,1.307291667,0.060846561,0.046875,0.223958333,1.174603175,0.770833333,1.286458333,0.55026455,0.798611111,1.286458333,2.417989418,1.640625,2.96875,0.457671958,0.654513889,1.135416667,45409.1697,10.41986463
2011,2.670955882,2.875661376,2.295138889,0.898815359,0.994708995,0.789930556,1.098120915,1.423280423,0.850694444,0.674019608,0.457671958,0.654513889,0.779616013,1.08994709,0.678819444,0.086601307,0.060846561,0.046875,1.086397059,1.174603175,0.770833333,0.718341503,0.55026455,0.798611111,1.996936275,2.417989418,1.640625,0.674019608,0.457671958,0.654513889,73275.33618,11.91945637
2012,1.35,2.670955882,2.875661376,0.344444444,0.898815359,0.994708995,0.788888889,1.098120915,1.423280423,0.216666667,0.674019608,0.457671958,0.577777778,0.779616013,1.08994709,0.027777778,0.086601307,0.060846561,0.35,1.086397059,1.174603175,0.394444444,0.718341503,0.55026455,1.133333333,1.996936275,2.417989418,0.216666667,0.674019608,0.457671958,92612.815,12.62860128
2013,2.201923077,1.35,2.670955882,0.453846154,0.344444444,0.898815359,1.020192308,0.788888889,1.098120915,0.727884615,0.216666667,0.674019608,0.503846154,0.577777778,0.779616013,0.100961538,0.027777778,0.086601307,0.8,0.35,1.086397059,0.797115385,0.394444444,0.718341503,1.474038462,1.133333333,1.996936275,0.727884615,0.216666667,0.674019608,64517.12972,9.716501795
2014,1.477777778,2.201923077,1.35,0.244444444,0.453846154,0.344444444,0.6,1.020192308,0.788888889,0.633333333,0.727884615,0.216666667,0.711111111,0.503846154,0.577777778,0.133333333,0.100961538,0.027777778,0.133333333,0.8,0.35,0.5,0.797115385,0.394444444,0.844444444,1.474038462,1.133333333,0.633333333,0.727884615,0.216666667,56744.33758,9.928041072
2015,6.093333333,1.477777778,2.201923077,0.958333333,0.244444444,0.453846154,2.738333333,0.6,1.020192308,2.396666667,0.633333333,0.727884615,2.188333333,0.711111111,0.503846154,0.408333333,0.133333333,0.100961538,0.766666667,0.133333333,0.8,1.871666667,0.5,0.797115385,3.696666667,0.844444444,1.474038462,2.396666667,0.633333333,0.727884615,53045.73167,9.529641685
2016,3.140548341,6.093333333,1.477777778,1.025901876,0.958333333,0.244444444,0.955988456,2.738333333,0.6,1.025324675,2.396666667,0.633333333,0.732972583,2.188333333,0.711111111,0.105339105,0.408333333,0.133333333,1.03008658,0.766666667,0.133333333,1.073881674,1.871666667,0.5,1.981890332,3.696666667,0.844444444,1.025324675,2.396666667,0.633333333,70393.8197,11.60392263
2017,5.057414966,3.140548341,6.093333333,2.141564626,1.025901876,0.958333333,1.582244898,0.955988456,2.738333333,1.333605442,1.025324675,2.396666667,1.820680272,0.732972583,2.188333333,0.377619048,0.105339105,0.408333333,1.569795918,1.03008658,0.766666667,0.680748299,1.073881674,1.871666667,3.723809524,1.981890332,3.696666667,1.333605442,1.025324675,2.396666667,65046.14583,11.12463093
2018,4.847405372,5.057414966,3.140548341,2.279359393,2.141564626,1.025901876,1.389956068,1.582244898,0.955988456,0.841765125,1.333605442,1.025324675,1.293488592,1.820680272,0.732972583,0.09793956,0.377619048,0.105339105,1.876106682,1.569795918,1.03008658,0.922854868,0.680748299,1.073881674,3.669315461,3.723809524,1.981890332,0.841765125,1.333605442,1.025324675,58043.98583,10.98338554
